objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,
pwp_01,,Poems on Various Subjects Religious and Moral,A. Bell,1773,title,paratext; title page,"Aldgate, London, UK",51.51358001,-0.07678002004,Gilder Lehrman Institute of American History,pwp_01,image; stillimage,image/jpeg,eng,"metadata-only record, please check publication for rights",,image,/objects/pwp_01.jpg,/objects/small/pwp_01_sm.jpg,/objects/thumbs/pwp_01_th.jpg,,,"Poems on Various Subjects Religious and Moral by Phillis Wheatley, Negro Servant to Mr. John Wheatley, of Boston, in New England"
pwp_02,,Dedication,Phillis Wheatley Peters,1773,dedication,paratext; dedication,"Aldgate, London, UK",51.51358001,-0.07678002004,Gilder Lehrman Institute of American History,pwp_02,image; stillimage,image/jpeg,eng,"metadata-only record, please check publication for rights",,image,/objects/pwp_02.jpg,/objects/small/pwp_02_sm.jpg,/objects/thumbs/pwp_02_th.jpg,,,"Dedication. To the Right Honourable the Countess of Huntington, the following Poems are most respectfully Inscribed by her much obliged,  Very humble, and devoted Servant. Phillis Wheatley. Boston, June 12, 1773."
pwp_03,,Preface,A. Bell,1773,preface,paratext; preface,"Aldgate, London, UK",51.51358001,-0.07678002004,Gilder Lehrman Institute of American History,pwp_03,image; stillimage,image/jpeg,eng,"metadata-only record, please check publication for rights",,image,/objects/pwp_03.jpg,/objects/small/pwp_03_sm.jpg,/objects/thumbs/pwp_03_th.jpg,,,"Preface. The following Poems were written originally for the Amusement of the Authot as they were the Products of her lesiure Moments. She had no Intention ever to have published them; nor would they now have made their Appearance, but at the Importunity of many of her best, and most generous Friends; to whom she considers hersefl, as under the greatest Obligations."
pwp_04,,Master's Letter,John Wheatley,1773,attestation ,paratext; attestation; race,"Aldgate, London, UK",51.51358001,-0.07678002004,Gilder Lehrman Institute of American History,pwp_04,image; stillimage,image/jpeg,eng,"metadata-only record, please check publication for rights",,image,/objects/pwp_04.jpg,/objects/small/pwp_04_sm.jpg,/objects/thumbs/pwp_04_th.jpg,,,The following is a Copy of a Letter sent by the Author's Master to the Publisher.
pwp_05,,To the Publick,A. Bell,1773,attestation ,paratext; attestation; race,"Aldgate, London, UK",51.51358001,-0.07678002004,Gilder Lehrman Institute of American History,pwp_05,image; stillimage,image/jpeg,eng,"metadata-only record, please check publication for rights",,image,/objects/pwp_05.jpg,/objects/small/pwp_05_sm.jpg,/objects/thumbs/pwp_05_th.jpg,,,To the Publick.
pwp_06,,To Maecenas,Phillis Wheatley Peters,1773,poem,poem; neoclassical; religion; heroic couplets,"Aldgate, London, UK",51.51358001,-0.07678002004,Gilder Lehrman Institute of American History,pwp_06,image; stillimage,image/jpeg,eng,"metadata-only record, please check publication for rights",,multiple,/objects/pwp_06.jpg,/objects/small/pwp_06_sm.jpg,/objects/thumbs/pwp_06_th.jpg,,,
pwp_06,pwp_06,To Maecenas,,,,,,,,,pwp_06,image; stillimage,image/jpeg,eng,"metadata-only record, please check publication for rights",,image,/objects/pwp_06.jpg,/objects/small/pwp_06_sm.jpg,/objects/thumbs/pwp_06_th.jpg,,,
pwp_07,pwp_06,To Maecenas,,,,,,,,,pwp_07,image; stillimage,image/jpeg,eng,"metadata-only record, please check publication for rights",,image,/objects/pwp_07.jpg,/objects/small/pwp_07_sm.jpg,/objects/thumbs/pwp_07_th.jpg,,,
pwp_08,pwp_06,To Maecenas,,,,,,,,,pwp_08,image; stillimage,image/jpeg,eng,"metadata-only record, please check publication for rights",,image,/objects/pwp_08.jpg,/objects/small/pwp_08_sm.jpg,/objects/thumbs/pwp_08_th.jpg,,,
pwp_09,,On Virtue,Phillis Wheatley Peters,1773,poem,poem; ode; personification,"Aldgate, London, UK",51.51358001,-0.07678002004,Gilder Lehrman Institute of American History,pwp_09,image; stillimage,image/jpeg,eng,"metadata-only record, please check publication for rights",,multiple,/objects/pwp_09.jpg,/objects/small/pwp_09_sm.jpg,/objects/thumbs/pwp_09_th.jpg,,,
